Symbol,Name,Sector,industry
TXG,"10x Genomics, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments
YI,"111, Inc.",Health Care,Medical/Nursing Services
PIH,"1347 Property Insurance Holdings, Inc.",Finance,Property-Casualty Insurers
PIHPP,"1347 Property Insurance Holdings, Inc.",Finance,Property-Casualty Insurers
TURN,180 Degree Capital Corp.,Finance,Finance/Investors Services
FLWS,"1-800-FLOWERS.COM, Inc.",Consumer Services,Other Specialty Stores
BCOW,"1895 Bancorp of Wisconsin, Inc.",Finance,Banks
ONEM,"1Life Healthcare, Inc.",Health Care,Medical/Nursing Services
FCCY,1st Constitution Bancorp (NJ),Finance,Savings Institutions
SRCE,1st Source Corporation,Finance,Major Banks
VNET,"21Vianet Group, Inc.",Technology,"Computer Software: Programming, Data Processing"
TWOU,"2U, Inc.",Technology,Computer Software: Prepackaged Software
QFIN,"360 Finance, Inc.",Finance,Finance: Consumer Services
KRKR,36Kr Holdings Inc.,Miscellaneous,Business Services
JOBS,"51job, Inc.",Technology,Diversified Commercial Services
ETNB,"89bio, Inc.",Health Care,Major Pharmaceuticals
JFK,8i Enterprises Acquisition Corp,Finance,Business Services
JFKKR,8i Enterprises Acquisition Corp,Finance,Business Services
JFKKU,8i Enterprises Acquisition Corp,Finance,Business Services
JFKKW,8i Enterprises Acquisition Corp,Finance,Business Services
EGHT,8x8 Inc,Technology,EDP Services
JFU,9F Inc.,Finance,Finance: Consumer Services
AAON,"AAON, Inc.",Capital Goods,Industrial Machinery/Components
ABEO,Abeona Therapeutics Inc.,Health Care,Major Pharmaceuticals
ABMD,"ABIOMED, Inc.",Health Care,Medical/Dental Instruments
AXAS,Abraxas Petroleum Corporation,Energy,Oil & Gas Production
ACIU,AC Immune SA,Health Care,Major Pharmaceuticals
ACIA,"Acacia Communications, Inc.",Technology,Semiconductors
ACTG,Acacia Research Corporation,Miscellaneous,Multi-Sector Companies
ACHC,"Acadia Healthcare Company, Inc.",Health Care,Medical Specialities
ACAD,ACADIA Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
ACAM,Acamar Partners Acquisition Corp.,Finance,Business Services
ACAMU,Acamar Partners Acquisition Corp.,Finance,Business Services
ACAMW,Acamar Partners Acquisition Corp.,Finance,Business Services
ACST,"Acasti Pharma, Inc.",Health Care,Major Pharmaceuticals
AXDX,"Accelerate Diagnostics, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments
ACCP,"Accelerated Pharma, Inc.",n/a,n/a
XLRN,Acceleron Pharma Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARAY,Accuray Incorporated,Health Care,Medical/Dental Instruments
ACRX,"AcelRx Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ACER,Acer Therapeutics Inc.,Health Care,Major Pharmaceuticals
ACHV,"Achieve Life Sciences, Inc. ",Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACIW,"ACI Worldwide, Inc.",Technology,Computer Software: Prepackaged Software
ACRS,"Aclaris Therapeutics, Inc.",Health Care,Major Pharmaceuticals
ACMR,"ACM Research, Inc.",Technology,Industrial Machinery/Components
ACNB,ACNB Corporation,Finance,Major Banks
ACOR,"Acorda Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACTT,Act II Global Acquisition Corp.,Finance,Business Services
ACTTU,Act II Global Acquisition Corp.,Finance,Business Services
ACTTW,Act II Global Acquisition Corp.,Finance,Business Services
ATVI,"Activision Blizzard, Inc",Technology,Computer Software: Prepackaged Software
ADMS,"Adamas Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ADMP,Adamis Pharmaceuticals Corporation,Health Care,Major Pharmaceuticals
AHCO,AdaptHealth Corp. ,Health Care,Medical/Nursing Services
ADAP,Adaptimmune Therapeutics plc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADPT,Adaptive Biotechnologies Corporation,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADXN,Addex Therapeutics Ltd,Health Care,Major Pharmaceuticals
ADUS,Addus HomeCare Corporation,Health Care,Medical/Nursing Services
AEY,"ADDvantage Technologies Group, Inc.",Consumer Services,Office Equipment/Supplies/Services
IOTS,Adesto Technologies Corporation,Technology,Semiconductors
ADIL,"Adial Pharmaceuticals, Inc",Health Care,Major Pharmaceuticals
ADILW,"Adial Pharmaceuticals, Inc",Health Care,Major Pharmaceuticals
ADMA,ADMA Biologics Inc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Adobe Inc.,Technology,Computer Software: Prepackaged Software
ADTN,"ADTRAN, Inc.",Public Utilities,Telecommunications Equipment
ADRO,"Aduro Biotech, Inc.",Health Care,Major Pharmaceuticals
ADES,"Advanced Emissions Solutions, Inc.",Basic Industries,Major Chemicals
AEIS,"Advanced Energy Industries, Inc.",Capital Goods,Industrial Machinery/Components
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors
ADXS,"Advaxis, Inc.",Health Care,Major Pharmaceuticals
ADVM,"Adverum Biotechnologies, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DWEQ,AdvisorShares Dorsey Wright Alpha Equal Weight ETF,n/a,n/a
DWAW,AdvisorShares Dorsey Wright FSM All Cap World ETF,n/a,n/a
DWUS,AdvisorShares Dorsey Wright FSM US Core ETF,n/a,n/a
DWMC,AdvisorShares Dorsey Wright Micro-Cap ETF,n/a,n/a
DWSH,AdvisorShares Dorsey Wright Short ETF,n/a,n/a
ACT,AdvisorShares Vice ETF,n/a,n/a
AEGN,Aegion Corp,Basic Industries,Water Supply
AGLE,"Aeglea BioTherapeutics, Inc.",Health Care,Major Pharmaceuticals
AEHR,Aehr Test Systems,Capital Goods,Electrical Products
AMTX,"Aemetis, Inc",Basic Industries,Major Chemicals
AERI,"Aerie Pharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AVAV,"AeroVironment, Inc.",Capital Goods,Aerospace
ARPO,"Aerpio Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
AIH,Aesthetic Medical International Holdings Group Ltd.,Health Care,Medical Specialities
AEZS,AEterna Zentaris Inc.,Health Care,Major Pharmaceuticals
AEMD,"Aethlon Medical, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments
AFMD,Affimed N.V.,Health Care,Major Pharmaceuticals
AFYA,Afya Limited,Consumer Services,Other Consumer Services
AGBA,AGBA Acquisition Limited,Finance,Business Services
AGBAR,AGBA Acquisition Limited,Finance,Business Services
AGBAU,AGBA Acquisition Limited,Finance,Business Services
AGBAW,AGBA Acquisition Limited,Finance,Business Services
